id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
13885910,JJ316393,2025-07-01T00:00:00.000,069XX S LAFAYETTE AVE,0880,THEFT,PURSE-SNATCHING,STREET,False,False,0731,007,6,69,06,1177024,1859232,2025,2025-07-08T15:44:15.000,41.769070498,-87.626668445,"{'latitude': '41.769070498', 'longitude': '-87.626668445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13886571,JJ317199,2025-07-01T00:00:00.000,048XX S ASHLAND AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,COMMERCIAL / BUSINESS OFFICE,True,False,0933,009,20,61,04B,1166490,1872603,2025,2025-07-08T15:44:15.000,41.805993183,-87.664900005,"{'latitude': '41.805993183', 'longitude': '-87.664900005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13886478,JJ316200,2025-07-01T00:00:00.000,014XX W WILLOW ST,0810,THEFT,OVER $500,ALLEY,False,False,1433,014,32,24,06,1166627,1912047,2025,2025-07-08T15:44:15.000,41.914228052,-87.663268495,"{'latitude': '41.914228052', 'longitude': '-87.663268495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13891097,JJ316072,2025-07-01T00:00:00.000,069XX W IRVING PARK RD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1632,016,38,17,05,1129530,1925823,2025,2025-07-08T15:44:15.000,41.952745491,-87.799243528,"{'latitude': '41.952745491', 'longitude': '-87.799243528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13886060,JJ316165,2025-07-01T00:00:00.000,043XX S WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,0922,009,15,58,14,1161090,1875919,2025,2025-07-08T15:44:15.000,41.815206232,-87.684613476,"{'latitude': '41.815206232', 'longitude': '-87.684613476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13889282,JJ320588,2025-07-01T00:00:00.000,046XX S SPRINGFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0821,008,14,57,14,1151136,1873685,2025,2025-07-08T15:44:15.000,41.809276225,-87.721185033,"{'latitude': '41.809276225', 'longitude': '-87.721185033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13887121,JJ317908,2025-07-01T00:00:00.000,063XX N RICHMOND ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2413,024,50,2,11,1155529,1941861,2025,2025-07-08T15:44:15.000,41.996270254,-87.703235467,"{'latitude': '41.996270254', 'longitude': '-87.703235467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13887564,JJ317449,2025-07-01T00:00:00.000,017XX W ERIE ST,0810,THEFT,OVER $500,STREET,False,False,1215,012,1,24,06,1164629,1904399,2025,2025-07-08T15:44:15.000,41.893284,-87.670825796,"{'latitude': '41.893284', 'longitude': '-87.670825796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13885845,JJ316314,2025-07-01T00:00:00.000,007XX E 103RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SCHOOL - PRIVATE GROUNDS,False,False,0511,005,8,50,14,1183035,1836831,2025,2025-07-08T15:44:15.000,41.707462015,-87.605329791,"{'latitude': '41.707462015', 'longitude': '-87.605329791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13895027,JJ327386,2025-07-01T00:00:00.000,064XX S LAFLIN ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,0725,007,16,67,26,1167444,1861961,2025,2025-07-11T15:41:18.000,41.776769851,-87.661706003,"{'latitude': '41.776769851', 'longitude': '-87.661706003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
